Site,Col_Company,Col_Recruit,Col_detail,Col_url
인크루트,(주)프로써치코리아,데이터분석전문가,"['서울 송파구', '경력 3~15년', '대졸↑', '정규직', '빅데이터·AI(인공지능)', '~06.15 (일)', '(13일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505160003623&src=etc*search
인크루트,주식회사 한섬,"빅데이터,데이터분석경력  채용","['서울 강동구', '경력 2년↑', '초대졸↑', '정규직', '1000대', '현대백화점그룹', '빅데이터·AI(인공지능)', '~05.30 (금)', '(14일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505150002086&src=etc*search
인크루트,스마일게이트엔터테인먼트,[CROSSFIRE] 데이터 분석 담당,"['경기 성남시 분당구', '경력 3년↑', '학력무관', '정규직', '1000대', 'ERP·시스템분석·설계,', '빅데이터·AI(인공지능)', '~05.31 (토)', '(22일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505070002804&src=etc*search
인크루트,(주)더블유게임즈,데이터 분석가 (경력),"['서울 강남구', '경력 1년↑', '학력무관', '정규직', '1000대', '빅데이터·AI(인공지능),', 'ERP·시스템분석·설계', '채용시', '(6일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505230000122&src=etc*search
인크루트,카카오뱅크(주),데이터 분석 담당자,"['경기 성남시 분당구', '경력 5년↑', '학력무관', '정규직', '1000대', '카카오그룹', 'ERP·시스템분석·설계,', '빅데이터·AI(인공지능),', '일반사무·사무지원', '~05.31 (토)', '(15일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505140002786&src=etc*search
인크루트,카카오뱅크(주),데이터 분석가 (계약직),"['경기 성남시 분당구', '경력 1년↑', '학력무관', '계약직', '1000대', '카카오그룹', '빅데이터·AI(인공지능),', '응용프로그래머', '~05.31 (토)', '(27일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505020000128&src=etc*search
인크루트,(주)스마일게이트홀딩스,"[데이터인사이트] 데이터 분석 담당(신입 가능, 계약직)","['경기 성남시 분당구', '경력무관', '학력무관', '계약직', '1000대', 'ERP·시스템분석·설계,', '빅데이터·AI(인공지능)', '~05.31 (토)', '(22일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505070001363&src=etc*search
인크루트,넷마블컴퍼니(주),게임 데이터 분석 담당자 모집,"['서울 구로구', '경력 2년↑', '학력무관', '정규직', '1000대', 'ERP·시스템분석·설계,', '빅데이터·AI(인공지능),', '게임(Game)', '채용시', '(3일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505260000088&src=etc*search
인크루트,베이글코드,[CVS] 데이터 분석가(Business Analyst),"['서울 강남구', '경력무관', '학력무관', '정규직', '1000대', 'ERP·시스템분석·설계,', '빅데이터·AI(인공지능)', '~05.30 (금)', '(21일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505080002153&src=etc*search
인크루트,넷마블컴퍼니(주),게임 이상탐지데이터분석가 모집,"['서울 구로구', '경력 1년↑', '학력무관', '정규직', '1000대', 'ERP·시스템분석·설계,', '빅데이터·AI(인공지능),', '게임(Game)', '채용시', '(3일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505260000085&src=etc*search
